date,temperature_2m,apparent_temperature,precipitation,rain,relative_humidity_2m,cloud_cover,is_weekend,apparent_temperature_rolling_avg,rain_rolling_avg,precipitation_rolling_avg,cloud_cover_rolling_avg
2025-06-27 00:00:00+02:00,20.912834,21.887314,2.3,2.3,78.84394,78.333336,False,20.887178802490233,2.699999916553497,2.699999916553497,48.61666755676269
2025-06-30 00:00:00+02:00,26.594084,27.690622,0.0,0.0,57.210514,20.416666,False,22.586310958862306,2.5399999141693117,2.5399999141693117,40.733334350585935
2025-07-01 00:00:00+02:00,27.802416,29.586214,0.0,0.0,51.477024,7.0416665,False,25.080979537963866,2.5399999141693117,2.5399999141693117,41.81666765213013
2025-07-02 00:00:00+02:00,28.931581,30.190788,0.0,0.0,49.69449,21.666666,False,26.20882797241211,2.5399999141693117,2.5399999141693117,40.38333406448364
2025-07-03 00:00:00+02:00,21.600334,20.668436,0.0,0.0,53.89462,15.25,False,26.004674911499023,0.45999999046325685,0.45999999046325685,28.541666889190672
2025-07-04 00:00:00+02:00,20.471167,19.52597,0.0,0.0,49.44016,31.375,False,25.53240623474121,0.0,0.0,19.149999713897706
2025-07-07 00:00:00+02:00,16.187834,15.6501,15.3,15.3,87.1085,94.041664,False,23.124301719665528,3.0600000381469727,3.0600000381469727,33.874999332427976
2025-07-08 00:00:00+02:00,14.156583,12.785462,3.7,3.7,77.88349,56.958332,False,19.76415138244629,3.800000047683716,3.800000047683716,43.8583324432373
2025-07-09 00:00:00+02:00,16.087833,14.951725,0.0,0.0,68.75945,33.166668,False,16.7163387298584,3.800000047683716,3.800000047683716,46.15833282470703
2025-07-10 00:00:00+02:00,18.806583,18.485825,0.0,0.0,62.87642,22.291666,False,16.27981643676758,3.800000047683716,3.800000047683716,47.56666603088379
2025-07-11 00:00:00+02:00,19.871166,19.311113,0.2,0.2,66.11219,20.916666,False,16.236845016479492,3.8400000482797623,3.8400000482797623,45.474999237060544
2025-07-14 00:00:00+02:00,21.03575,21.118858,9.400001,9.400001,67.04973,58.583332,False,17.330596733093262,2.6600001245737075,2.6600001245737075,38.38333282470703
2025-07-15 00:00:00+02:00,20.000334,18.9662,0.0,0.0,59.294895,77.375,False,18.566744232177733,1.9200001150369643,1.9200001150369643,42.46666641235352
2025-07-16 00:00:00+02:00,19.419085,17.450226,1.9,1.9,58.89894,62.75,False,19.066444396972656,2.3000001102685927,2.3000001102685927,48.38333282470703
2025-07-17 00:00:00+02:00,19.0795,18.432076,0.0,0.0,62.277134,35.791668,False,19.055694580078125,2.3000001102685927,2.3000001102685927,51.08333320617676
2025-07-18 00:00:00+02:00,21.462835,21.444235,0.0,0.0,55.53364,53.875,False,19.482318878173828,2.2600001096725464,2.2600001096725464,57.675
2025-07-21 00:00:00+02:00,18.764917,18.619833,18.7,18.7,81.01005,93.666664,False,18.9825138092041,4.120000147819519,4.120000147819519,64.69166641235351
2025-07-22 00:00:00+02:00,17.575335,16.710098,16.4,16.4,82.30269,78.458336,False,18.53129348754883,7.400000071525573,7.400000071525573,64.90833358764648
2025-07-23 00:00:00+02:00,18.477417,18.714012,0.4,0.4,76.066826,56.458332,False,18.784050750732423,7.100000077486039,7.100000077486039,63.65
2025-07-24 00:00:00+02:00,17.752417,18.950987,5.4,5.4,84.27903,71.333336,False,18.887833023071288,8.180000096559525,8.180000096559525,70.75833358764649
2025-07-25 00:00:00+02:00,18.935751,20.284365,3.8,3.8,82.01282,33.708332,False,18.655858993530273,8.940000087022781,8.940000087022781,66.725
2025-07-28 00:00:00+02:00,17.154501,16.33559,6.7,6.7,76.21679,56.666668,False,18.1990104675293,6.5399998962879184,6.5399998962879184,59.32500076293945
2025-07-29 00:00:00+02:00,17.152416,16.761753,1.1,1.1,74.91862,54.708332,False,18.20934143066406,3.479999977350235,3.479999977350235,54.575
